dept/pgm,number,course title,area
HISTORY,203-3,Jewish History 1789-1948,IV
HISTORY,210-1,"History of the United States, Precolonial to the Civil War",IV
HISTORY,210-2,"History of the United States, Reconstruction to the Present",IV
HISTORY,212-1,Introduction to African American History; with AF AM ST 212-1,IV
HISTORY,212-2,Introduction to African American History; with AF AM ST 212-2,IV
HISTORY,214,Asian American History; with ASIAN AM 214,IV
HISTORY,216,Global Asians; with ASIAN AM 216,IV
HISTORY,218,Latina and Latino History; with LATINO 218,IV
HISTORY,250-1,Global History: Early Modern to Modern Transition,IV
HISTORY,250-2,Global History: The Modern World,IV
HISTORY,251,The Politics of Disaster: A Global Environmental History,IV
HISTORY,252,Global History of Refugees,IV
HISTORY,255-1,Background to African Civilization and Culture: Origins to 17th C,IV
HISTORY,255-2,Background to African Civilization and Culture: 16th-19th C,IV
HISTORY,255-3,Background to African Civilization and Culture: 1875-1994,IV
HISTORY,260-1,History of Latin America in the Colonial Period: 1492-1821,IV
HISTORY,260-2,History of Latin America in the Modern Period: 1789-present,IV
HISTORY,261,Sex After Shakespeare,IV
HISTORY,262,"Pirates, Guns, and Empires",IV
HISTORY,270,Middle Eastern/Islamic Civilization,IV
HISTORY,271-1,History of the Islamic Middle East: 600-1200,IV
HISTORY,271-2,History of the Islamic Middle East: 1200-1789,IV
HISTORY,271-3,History of the Islamic Middle East: 1789-present,IV
HISTORY,272,The History of Ancient Egypt (3100-ca. 1000 BCE),IV
HISTORY,275-1,History of Early Modern Science and Medicine,IV
HISTORY,275-2,History of Modern Science and Medicine,IV
HISTORY,281,Chinese Civilization,IV
HISTORY,282,Sino-American Relations in the Modern World,IV
HISTORY,284-1,"Japanese History, Ancient & Medieval: 200-1600",IV
HISTORY,284-2,"Japanese History, Tokugawa Period: 1600-1868",IV
HISTORY,286,World War II in Asia,IV
HISTORY,292,Introduction to Topics in History,IV
HISTORY,300,New Lectures in History,IV
HISTORY,301-SA-1,"New Lectures in History 1 (for BCICS summer study abroad
programs)",IV
HISTORY,301-SA-2,New Lectures in History 2 (for BCICS summer study abroad programs),IV
HISTORY,303-1,"American Women's History, to 1865",IV
HISTORY,303-2,"American Women's History, since 1865",IV
HISTORY,304,Asian American Women's History; with ASIAN AM 304,IV
HISTORY,305,American Immigration; with LEGAL ST 305,IV
HISTORY,308,The American West,IV
HISTORY,309,American Environmental History; with ENVR POL 309,IV
HISTORY,310-1,Early American History: Conquest and Colonization to 1688,IV
HISTORY,310-2,"Early American History: The Age of the American Revolution, 1688-
1789",IV
HISTORY,311,"New Nation: The United States, 1787-1848",IV
HISTORY,314,Civil War and Reconstruction,IV
HISTORY,315-1,The U.S. since 1900: Early 20th C,IV
HISTORY,315-2,The U.S. since 1900: Mid-20th C,IV
HISTORY,315-3,The U.S. since 1900: Late 20th C to Present,IV
HISTORY,316,The Sixties,IV
HISTORY,317-1,American Cultural History: 19th C,IV
HISTORY,317-2,American Cultural History: 20th C to Present,IV
HISTORY,318-1,Legal & Constitutional History of the U.S.; with LEGAL ST 318-1,IV
HISTORY,318-2,Legal & Constitutional History of the U.S.; with LEGAL ST 318-2,IV
HISTORY,319,History of U.S. Foreign Relations,IV
HISTORY,320,The Fourteenth Amendment; with LEGAL ST 320,IV
HISTORY,321,The Vietnam Wars,IV
HISTORY,322-1,Development of the Modern American City: to 1880,IV
HISTORY,322-2,Development of the Modern American City: 1880-Present,IV
HISTORY,324,U.S. Gay and Lesbian History; with GNDR ST 324,IV
HISTORY,325,History of American Technology,IV
HISTORY,326,U.S. Intellectual History,IV
HISTORY,330,Medieval Sex,IV
HISTORY,331,Women in Medieval Society,IV
HISTORY,332-1,The Development of Medieval Europe: Earlty Middle Ages,IV
HISTORY,332-2,The Development of Medieval Europe: High & Late Middle Ages,IV
HISTORY,333,The Age of the Renaissance,IV
HISTORY,334,The Age of the Reformation,IV
HISTORY,336,Spain 1500-1700: Rise and Fall of a European Empire,IV
HISTORY,337,History of Modern Europe,IV
HISTORY,338-1,Europe in the 20th Century: 1900-1945,IV
HISTORY,338-2,Europe in the 20th Century: 1945-present,IV
HISTORY,340,"Gender, War, and Revolution in the 20th Century",IV
HISTORY,341,"Paris: World City, 1700 to the Present",IV
HISTORY,342-1,History of Modern France: Ancien Regime and the French Revolution,IV
HISTORY,342-2,History of Modern France: 19th C. to Present,IV
HISTORY,343,Modern Italy,IV
HISTORY,344-1,Weimar and Nazi Germany (taught with GERMAN 344-1),IV
HISTORY,344-2,Germany Since 1945 (taught with GERMAN 344-2),IV
HISTORY,345-1,History of Russia: 800-1700,IV
HISTORY,345-2,History of Russia: 1700-1917,IV
HISTORY,345-3,History of Russia: 1917-present,IV
HISTORY,346,"East Central Europe under Communist Rule and Beyond, 1945 to the
Present",IV
HISTORY,347,Christians and Jews,IV
HISTORY,348-1,"Jews in Poland, Ukraine, and Russia",IV
HISTORY,348-2,"Jews in Poland, Ukraine, and Russia",IV
HISTORY,349,History of the Holocaust (taught with GERMAN 349),IV
HISTORY,352,A Global History of Death and Dying,"IV,V"
HISTORY,356-1,"History of South Africa, Earlty Times to 1879",IV
HISTORY,356-2,"History of South Africa, 20th century",IV
HISTORY,357,East Africa,IV
HISTORY,358,Topics in West African History,IV
HISTORY,360,Tudor and Stuart Britain,IV
HISTORY,362-1,"Modern British History, 1688-1815",IV
HISTORY,362-2,"Modern British History, 1780-1900",IV
HISTORY,362-3,"Modern British History, 1900-present",IV
HISTORY,364,Gender and Sexuality in Victorian Britain,IV
HISTORY,365,Revolutions in Medicine,IV
HISTORY,366,Race and Nation in the Independence Era,IV
HISTORY,367,History of Modern Brazil,IV
HISTORY,368-1,Revolution in 20th-Century Latin America: Mexico and its Revolutions,IV
HISTORY,368-2,Revolution in 20th-Century Latin America: Marxist Revolutions,IV
HISTORY,369,Development and Inequality in Modern Latin America,IV
HISTORY,373-1,"The Ottomans: Last Empire of Islam, 1300-1622",IV
HISTORY,373-2,"The Ottomans: From ""Second Empire"" to the Age of Nationalism,
1622-1918",IV
HISTORY,376,Global Environments and World History (with ENVR POL 340),IV
HISTORY,378,History of Law and Science,IV
HISTORY,379,Biomedicine and World History (with GBL HLTH 309),IV
HISTORY,381-1,"History of Modern China: Late Imperial China, 1600-1911",IV
HISTORY,381-2,"History of Modern China: Twentieth-Century China, 1911-2000",IV
HISTORY,381-3,China in Reform: History of the Present,IV
HISTORY,382,The Modern Japanese City,IV
HISTORY,383,Japan's Modern Revolution,IV
HISTORY,384-1,History of Modern Japan: The Modern State,IV
HISTORY,384-2,History of Modern Japan: War and Postwar Japan,IV
HISTORY,385-1,"History of Modern South Asia, 1500-1800",IV
HISTORY,385-2,"History of Modern South Asia, ca.1750-present",IV
HISTORY,386-2,History of Modern Southeast Asia Until 1945,IV
HISTORY,386-3,History of Contemporary Southeast Asia Since 1945,IV
HISTORY,393,Approaches to History,IV
HISTORY,395,Research Seminar,IV
HUM,205,The World of Homer; with CLASSICS 210,"IV,V,VI"
HUM,211,Humanities in the World II,IV
HUM,310-4,Global Humanites Lab,IV
HUM,325-4,Humanites in the Digital Age,IV
HUM,370-4,Special Topics in the Humanities,IV
HUM,397,"Exhibiting Antiquity: The Culture and Politics of Display; with ART
HIST 318 and CLASSICS 397","IV,VI"
ITALIAN,265,Body & Soul from Rome to the Renaissance,"IV,VI"
ITALIAN,270,Michelangelo and the Italian Renaissance,"IV,VI"
JWSH ST,280-4,Topics in Israel Studies,IV
LATINO,201,Introduction to Latina and Latino Studies,"III,IV"
LATINO,218,Latina and Latino History; with HISTORY 218,IV
LATINO,391,Topics in Latina and Latino History,IV
LEGAL ST,305,American Immigration; with HISTORY 305,IV
LEGAL ST,318-1,Legal & Constitutional History of the U.S.; with HISTORY 318-1,IV
LEGAL ST,318-2,Legal & Constitutional History of the U.S.; with HISTORY 318-2,IV
LEGAL ST,320,The Fourteenth Amendment; with HISTORY 320,IV
LEGAL ST,340,Gender and the Law (with GNDR ST 340),"III,IV"
LEGAL ST,347,Comparative Race and Ethnicity,IV
LING,222,"Language, Politics, and Identity (with SLAVIC 222)",IV & V
MENA,290-4,Introductory Topics in Middle East and North African Studies,IV
MENA,390-4,Advanced Topics in  Middle East and North African Studies,IV
POLI SCI,301,Classical Political Theory,"IV,V"
POLI SCI,302,"Subjects, Citizens, Revolutionaries: Early Modern Political Thought","IV,V"
POLI SCI,306,American Political Thought,"III,IV"
POLI SCI,346,European Union in International Affairs,IV
PORT,210,"Icons, Legends, and Myths in Brazil  (may have Portuguese prereq)","IV,VI"
RELIGION,264,American Religious History from 1865 to the Great Depression,"IV, V"
RELIGION,265,American Religious History from World War II to the Present,"IV, V"
RELIGION,272,Luther and the West; with GERMAN 272,"IV,V"
RELIGION,363,Topics in Women and Religion in America,"IV, V"
RELIGION,381,Global Catholicism in the Contemporary World,"IV,V"
RELIGION,385,Topics in U.S. Catholicism,"IV,V"
RELIGION,386,Topics in Latin American Catholicism,"IV,V"
RTVF,310,Television History,IV
SLAVIC,222,"Language, Politics, and Identity (with LING 222)",IV & V
SLAVIC,255,Slavic Civilizations,IV
SLAVIC,255-SA,Slavic Civilizations,IV
SLAVIC,261,Heart of Europe: Poland in the 20th Century,IV
SLAVIC,390,Literature and Politics in Central and Eastern Europe,"IV,VI"
SLAVIC,393,"Prague: City of Cultures, City of Conflict","IV,VI"
SOCIOL,277,Introduction to Native American Studies,"III,IV"
SOCIOL,324,Global Capitalism,"III,IV"
AF AM ST,215,Introduction to Black Social & Political Life,"III,IV,V"
AF AM ST,220,Civil Rights and Black Liberation,"IV,V"
AF AM ST,310,Contemporary Asian/Black Relations; with ASIAN AM 310,V
AF AM ST,315,Religion in the Black Atlantic,"IV,V"
AF AM ST,319,"Race, Ethnicity, and the American Constitution","III,V"
AF AM ST,342,Comparative Slavery,"III,IV,V"
ANTHRO,232,Myth and Symbolism,V
ANTHRO,255,Contemporary African Worlds,V
ANTHRO,350,Anthropology of Religion,V
ANTHRO,351,Hope and Futurity,V
ANTHRO,368,Latina and Latino Ethnography,V
ASIAN AM,310,Contemporary Asian/Black Relations; with AF AM ST 310,V
ASIAN AM,350,Asian American Religions,"III,V"
CLASSICS,210,The World of Homer; with HUM 205,"IV,V,VI"
CLASSICS,211,Greek History and Culture: From Homer to Alexander the Great,"IV,V,VI"
CLASSICS,212,Rome: Culture and Empire,"IV,V,VI"
CLASSICS,260,Classical Mythology,"V,VI"
CLASSICS,370,Greek and Roman Religion,V
COMP LIT,207,Introduction to Critical Theory; with PHIL 220,V
ENGLISH,220,The Bible as Literature,"V,VI"
ENGLISH,388,Studies in Literature and Religion,"V,VI"
ENVR POL,261,"American Religion, Ecology, and Culture; with RELIGION 261",V
FRENCH,277,French Existentialism,"V,VI"
GEN LA,280-5,Residence-Linked Seminar - V,V
GERMAN,232,The Theme of Faust through the Ages,"V,VI"
GERMAN,234-1,Jews & Germans: An Intercultural History,"IV,V,VI"
GERMAN,234-2,Jews & Germans: An Intercultural History,"IV,V,VI"
GERMAN,236,Kafka and Nietzsche,"V,VI"
GERMAN,272,Luther and the West; with RELIGION 272,"IV,V"
GERMAN,337,Science and Culture in Germany (German prereq.),"IV,V"
GBL HLTH,302,Global Bioethics,V
GBL HLTH,321,War and Public Health,"III,V"
GBL HLTH,324,Volunteerism and the Ethics of Help,V
GNDR ST,233,"Gender, Politics, and Philosophy; with PHIL 221",V
HISTORY,352,A Global History of Death and Dying,"IV,V"
HUM,205,The World of Homer; with CLASSICS 210,"IV,V,VI"
HUM,220,"Health, Biomedicine, Culture, and Society; with SOCIOL 220","III,V"
HUM,260,Humanities Explorations,"V,VI"
HUM,310-5,Global Humanites Lab,V
HUM,325-5,Humanites in the Digital Age,V
HUM,370-5,Special Topics in the Humanities,V
ISEN,230,"Climate Change and Sustainability: Economic and Ethical
Dimensions; with PHIL 270",V
JWSH ST,210,Jewish Studies: An Overview,V
JWSH ST,280-5,Topics in Israel Studies,V
LATINO,342,Latina and Latino Social Movements,"III,V"
LATINO,392,Topics in Latina and Latino Social and Political Issues,"III,V"
LEGAL ST,309,Political Theories of the Rule of Law (taught with POLI SCI 309),V
LING,221,Language and Prejudice,V
LING,222,"Language, Politics, and Identity (with SLAVIC 222)","IV, V"
MENA,290-5,Introductory Topics in Middle East and North African Studies,V
MENA,390-5,Advanced Topics in Middle East and North African Studies,V
PHIL,110,Introduction to Philosophy,V
PHIL,210-1,The History of Philosophy - Ancient,V
PHIL,210-2,The History of Philosophy - Medieval,V
PHIL,210-3,The History of Philosophy - Early Modern,V
PHIL,216,Introduction to Pragmatism,V
PHIL,219,Introduction to Existentialism,V
PHIL,220,Introduction to Critical Theory; with COMP LIT 207,V
PHIL,221,"Gender, Politics, and Philosophy (PHIL 230 prior to Fall 2019); with
GNDR ST 233",V
PHIL,222,Introduction to Africana Philosophy,V
PHIL,224,"Philosophy, Race, and Racism (PHIL 267 prior to Fall 2019)",V
PHIL,240,Freedom and Responsibility,V
PHIL,254,Introducton to Philosophy of the Natural Sciences,V
PHIL,255,Theory of Knowledge,V
PHIL,257,Philosophy of the Universe,V
PHIL,259,Introduction to Metaphysics,V
PHIL,260,Introduction to Moral Philosophy,V
PHIL,261,Introduction to Political Philosophy,V
PHIL,262,Ethical Problems and Public Issues,V
PHIL,266,Philosophy of Religion,V
PHIL,268,Ethics and the Environment,V
PHIL,269,Bioethics,V
PHIL,270,"Climate Change and Sustainability: Economic and Ethical
Dimensions; with ISEN 230",V
PHIL,273-1,The Brady Scholars Program: The Good Life,V
PHIL,273-2,The Brady Scholars Program: The Moral Life,V
PHIL,273-3,The Brady Scholars Program: The Good Society,V
PHIL,326,Topics in Philosophy of Medicine,V
PHIL,363,Kant's Moral Theory,V
PHIL,364,Business and Professional Ethics,V
POLI SCI,201,Introduction to Political Theory,"III,V"
POLI SCI,301,Classical Political Theory,"IV,V"
POLI SCI,302,"Subjects, Citizens, Revolutionaries: Early Modern Political Thought","IV,V"
POLI SCI,303,Modernity and Its Discontents,V
POLI SCI,304,Human Rights Between East and West,V
POLI SCI,307,Deportation Law and Politics,V
POLI SCI,309,Political Theories of the Rule of Law (taught with LEGAL ST 309),V
POLI SCI,347,Ethics in International Relations,V
POLI SCI,382,Politics of Religious Diversity,"III, V"
PSYCH,249,Buddhist Psychology,"III, V"
RELIGION,170,Introduction to Religion,V
RELIGION,172,"Introduction to Religion, Media, and Culture",V
RELIGION,173,"Religion, Medicine, and Suffering in the West",V
RELIGION,200,Introduction to Hinduism,V
RELIGION,210,Introduction to Buddhism,V
RELIGION,220,Introduction to the Hebrew Bible,V
RELIGION,221,Introduction to the New Testament,V
RELIGION,230,Introduction to Judaism,V
RELIGION,240,Introduction to Christianity,V
RELIGION,250,Introduction to Islam,V
RELIGION,260,Introduction to Native American Religions,V
RELIGION,261,"American Religion, Ecology, and Culture; with ENVR POL 261",V
RELIGION,264,American Religious History from 1865 to the Great Depression,"IV,V"
RELIGION,265,American Religious History from World War II to the Present,"IV,V"
RELIGION,270,Introduction to Theology,V
RELIGION,271,Theology of Love,V
RELIGION,272,Luther and the West; with GERMAN 272,"IV,V"
RELIGION,275,Mysticism and Spirituality,V
RELIGION,295,Ahimsa: Nonviolence in South Asia and Beyond,V
RELIGION,301,Hindu Epics: the Mahābhārata,"V,VI"
RELIGION,302,Hindu Epics: Rāmāyaṇa,V
RELIGION,309,Topics in Hinduism,V
RELIGION,312,Buddhism and Gender,V
RELIGION,313,Tibetan Religion and Culture,V
RELIGION,314,Buddhism in the Contemporary World,V
RELIGION,315,Buddhist Auto/biography,"V,VI"
RELIGION,316,Religion and the Body in China,V
RELIGION,318,Topics in East Asian Religions,V
RELIGION,319,Topics in Buddhism,V
RELIGION,329,Topics in the Bible,V
RELIGION,330,Varieties of Ancient Judaism,V
RELIGION,332,Modern Jewish Thought,V
RELIGION,333,Judaism in the Modern World,V
RELIGION,339,Topics in Judaism,V
RELIGION,342,Christian Mystical Theology,V
RELIGION,344,"Blood, Sex and Justice: Issues in Christian Ethics",V
RELIGION,345,The Idea of Sainthood in Christianity,V
RELIGION,346,Church Architecture,V
RELIGION,349,Topics in Christianity,V
RELIGION,350,The Qur'an,V
RELIGION,351,Islamic Law,V
RELIGION,353,Trends in Islamic Thought,V
RELIGION,354,Sufism,V
RELIGION,359,Topics in Islam,V
RELIGION,359-SA,Topics in Islam,V
RELIGION,360,African American Religions,V
RELIGION,363,Topics in Women and Religion in America,"IV,V"
RELIGION,364,American Teenage Rites of Passage,V
RELIGION,369,Topics in American Religion,V
RELIGION,371,Religion and Film,V
RELIGION,373,Religion and Bioethics,V
RELIGION,374,Contemporary Religious Thought,V
RELIGION,375,Foundations of Christian Thought (replaced 340-1),V
RELIGION,376,Christianity and the Making of Modernity (replaced 340-2),V
RELIGION,377,Christian Thought in Global Perspective  (replaced 340-3),V
RELIGION,378,Death: Myth and Meaning,V
RELIGION,379,Topics in Comparative Religion,V
RELIGION,381,Global Catholicism in the Contemporary World,"IV,V"
RELIGION,382,Catholicism and the Making of the Modern World,V
RELIGION,383,Catholic Social Ethics,V
RELIGION,384,Soundings in the Catholic Tradition,V
RELIGION,385,Topics in U.S. Catholicism,"IV,V"
RELIGION,386,Topics in Latin American Catholicism,"IV,V"
RELIGION,395,Theories of Religion,V
SLAVIC,222,"Language, Politics, and Identity (with LING 222)","IV, V"
SLAVIC,260,Economics and the Humanities: Understanding Choice,"V, VI"
SOCIOL,220,"Health, Biomedicine, Culture, and Society; with HUM 220","III,V"
SOCIOL,321,"Numbers, Identity, and Modernity","III,V"
ANTHRO,362,Advanced Methods in Quantitatitve Analysis,II
BIOL_SCI,338,Modeling Biological Dynamics,II
COG SCI,207,Introduction to Cognitive Modeling,II
COMP_SCI,110,Introduction to Computer Programming,II
COMP_SCI,111,Fundamentals of Computer Programming,II
COMP_SCI,150,Fundamentals of Computer Programming 1.5,II
CSD,304,Statistics in Communication Sciences and Disorders,II
EARTH,361,Scientific Programming in Python,II
EARTH,362,Data Analysis for Earth & Planetary Sciences,II
GEN LA,280-2,Residence-Linked Seminar - II,II
GEN MUS,252,Harmony,II
GEN MUS,253,Form and Analysis,II
LING,260,Formal Analysis of Words & Sentences,II
LING,270,Meaning,II
LING,334,Introduction to Computational Linguistics,II
LING,341,Language Typology,II
LING,342,Structure of Various Languages,II
LING,360,Fundamentals of Syntax,II
LING,370,Fundamentals of Meaning,II
LING,371,Reference,II
MATH,100,"Quantitative Reasoning (distribution requirement credit applies only to MATH 100-0 and not to the ungraded summer course, MATH 100-BR)",II
MATH,110,Introduction to Mathematics,II
MATH,202,Finite Mathematics,II
MATH,211,Short Course in Calculus,II
MATH,218-1,Single-Variable Calculus with Precalculus,II
MATH,218-2,Single-Variable Calculus with Precalculus,II
MATH,218-3,Single-Variable Calculus with Precalculus,II
MATH,220-1,Single-Variable Differential Calculus,II
MATH,220-2,Single-Variable Integral Calculus,II
MATH,226-0,Sequences and Series,II
MATH,228-1,Multivariable Differential Calculus for Engineering,II
MATH,228-2,Multivariable Integral Calculus for Engineering,II
MATH,327,Mechanics for Mathematicians,"I,II"
MATH,,Completing any one course offered by the Department of Mathematics numbered 230-1 or higher with a grade of C- or better satisfies the Weinberg College Formal Studies (Area II) distribution requirement.,II
NICO,101,Introduction to Programming for Big Data (0.67 units) -- see note below,II
,102,Project for Introduction to Programming for Big Data (0.33 units).  NOTE: Students must complete both NICO 101 and 102 for 1 credit towards Formal Studies,
PHIL,150,Elementary Logic I,II
PHIL,151,Scientific Reasoning,II
PHIL,250,Elementary Logic II,II
PHYSICS,311-1,Mathematical Tools for the Physical Sciences - I,II
PHYSICS,311-2,Mathematical Tools for the Physical Sciences - II,II
POLI SCI,210,Introduction to Empirical Methods in Political Science,II
POLI SCI,310,Methods of Political Inference,II
POLI SCI,311,Logics of Political Inquiry,II
POLI SCI,312,Statistical Research Methods,II
PSYCH,201,Statistical Methods in Psychology,II
PSYCH,380,Advanced Statistics & Experimental Design,II
SLAVIC,341,Structure of Modern Russian,II
SOCIOL,303,Analysis and Interpretation of Social Data,II
SPANISH,281,Spanish Phonetics and Phonology,II
STAT,202,Introduction to Statistics and Data Science,II
STAT,210,Introductory Statistics for the Social Sciences,II
STAT,228,Series and Multiple Integrals,II
STAT,232,Applied Statistics,II
STAT,,"Any 300-level Statistics course (except 390, 398, or 399) can count as one credit of the Area II requirement.",II
AF AM ST,210,Survey of African American Literature,VI
AF AM ST,211,Literatures of the Black World,VI
AF AM ST,225,African American Culture,VI
AF AM ST,259,Introduction to African American Drama,VI
AF AM ST,261,Queer Literatures in the African Diaspora,VI
AF AM ST,327,Politics of Black Popular Culture,"III,VI"
AF AM ST,331,The African American Novel,VI
AF AM ST,360,Major Authors,VI
AF AM ST,378,The Harlem Renaissance,VI
AF AM ST,379,Black Women Writers,VI
AF ST,276,African Literature in Translation; with COMP LIT 276,VI
ARABIC,316-1,Reading Arabic Poetry (Arabic prereq),VI
ARABIC,316-2,Reading Classical Arabic Texts (Arabic prereq),VI
ARABIC,316-3,Reading Modern Arabic Prose (Arabic prereq),VI
ART,270,Contemporary Art Survey,VI
ART,272,Critical Methods for Contemporary Art,VI
ART HIST,210,Introduction to Art History,"IV,VI"
ART HIST,220,Introduction to African Art,VI
ART HIST,222,Introduction to Art of the African Diaspora,"IV,VI"
ART HIST,224,Introduction to Ancient Art,"IV,VI"
ART HIST,225,Introduction to Medieval Art,"IV,VI"
ART HIST,228,Introduction to Pre-Columbian Art,VI
ART HIST,230,Introduction to American Art,VI
ART HIST,232,Introduction to the History of Architecture and Design,VI
ART HIST,235,Introduction to Latin American Art,VI
ART HIST,240,Introduction to Asian Art,VI
ART HIST,250,Introduction to European Art,"IV,VI"
ART HIST,255,Introduction to Modernism,"IV,VI"
ART HIST,260,Introduction to Contemporary Art,VI
ART HIST,310-1,Ancient Art: Greece,VI
ART HIST,310-2,Ancient Art,VI
ART HIST,318,"Exhibiting Antiquity: The Culture and Politics of Display; with
CLASSICS 397 and HUM 397","IV,VI"
ART HIST,320-1,Medieval Art: Byzantine,"IV,VI"
ART HIST,320-2,Medieval Art: Early Medieval,VI
ART HIST,320-3,Medieval Art: Late Medieval,"IV,VI"
ART HIST,330-1,Renaissance Art c. 1300-1550 (High Renaissance),VI
ART HIST,330-2,Renaissance Art and Mannerism: Southern European Art 1400-1600,VI
ART HIST,330-3,Renaissance Art and Mannerism: Northern European Art 1400-1600,VI
ART HIST,340-1,Baroque Art: Southern Europe 1600-1700,"IV,VI"
ART HIST,340-2,Baroque Art: Northern Europe 1600-1700,"IV,VI"
ART HIST,350-1,19th-Century Art: Late 18th Century-1848,VI
ART HIST,350-2,19th-Century Art: 1848-1900,VI
ART HIST,360-1,20th-Century European Art,VI
ART HIST,360-2,20th-Century European Art,VI
ART HIST,365-1,American Art I,VI
ART HIST,365-2,American Art II,VI
ART HIST,370-1,Modern Architecture and Design,VI
ART HIST,370-2,Contemporary Architecture and Design,VI
ART HIST,372-1,Japanese Art,VI
ART HIST,375,Media Theory; with HUM 225,VI
ART HIST,378,The Global City,VI
ART HIST,380-1,Tibetan Buddhist Art 1,VI
ART HIST,380-2,Tibetan Buddhist Art 2,VI
ART HIST,382-1,Chinese Painting,VI
ART HIST,384,African American Art,VI
ART HIST,385,Black Visual Culture: Race and Representation,VI
ART HIST,386,Art of Africa,VI
ART HIST,395,Museums,VI
ASIAN AM,247,Asian Americans and Popular Culture,VI
ASIAN AM,275,Introduction to Asian American Literature; with ENGLISH 275,VI
ASIAN AM,276,Topics in Litereary and Cultural Studies,VI
ASIAN AM,376,Advanced Topics in Litereary and Cultural Studies,VI
ASIAN AM,377,The American Century in Asia,VI
ASIAN AM,380,Studies in Arts and Performance,VI
ASIAN LC,200,Introductory Topics in Chinese Literature and Culture,VI
ASIAN LC,202,Introduction to Modern Chinese Literature and Culture,VI
ASIAN LC,204,Modern Chinese Popular Culture I,VI
ASIAN LC,205,Modern Chinese Popular Culture II,VI
ASIAN LC,220,Introductory Topics in Japanese Literature and Culture,VI
ASIAN LC,221,Introduction to Premodern Japanese Literature and Culture,VI
ASIAN LC,222,Introduction to Modern Japanese Literature and Culture,VI
ASIAN LC,223,Introduction to Contemporary Japanese Literature and Culture,VI
ASIAN LC,224,"Introduction to Japanese Film, Media, and Visual Culture",VI
ASIAN LC,240,Introductory Topics in Korean Literature and Culture,VI
ASIAN LC,260,Introductory Topics in South Asian Literature and Culture,VI
ASIAN LC,261,South Asian Popular Cultures,VI
ASIAN LC,265,South Asian Cinemas,VI
ASIAN LC,290,Introductory Topics in Asian Languages and Cultures,VI
ASIAN LC,300,Advanced Topics in Chinese Literature and Culture,VI
ASIAN LC,320,Advanced Topics in Japanese Literature and Culture,VI
ASIAN LC,321,Advanced Topics in Premodern Japanese Literature and Culture,VI
ASIAN LC,322,"Advanced Topics in Modern and Contemporary Japanese Literature
and Culture",VI
ASIAN LC,340,Advanced Topics in Korean Literature and Culture,VI
ASIAN LC,360,Advanced Topics in South Asian Literature and Culture,VI
ASIAN LC,370,Literary Cultures in South Asia,VI
ASIAN LC,373,Religious and Textural Traditions in South Asia,VI
ASIAN LC,375,South Asian Societies,VI
ASIAN LC,390,Advanced Topics in Asian Languages and Cultures,VI
ASIAN LC,392,"Advanced Studies in Asian Film, Media, and Visual Culture",VI
ASIAN LC,393,Asian Environmental Humanities,VI
ASIAN LC,394,Space and Place in Asian Literatures and Cultures,VI
ASIAN LC,395,Genre in Asian Literatures,VI
CFS,398,"Field Studies in Humanities (variable credit course; 1 unit can count
toward distribution requirements)",VI
CLASSICS,210,The World of Homer ;  with HUM 205,"IV,V,VI"
CLASSICS,211,Greek History and Culture; From Homer to Alexander the Great,"IV,V,VI"
CLASSICS,212,Rome: Culture and Empire,"IV,V,VI"
CLASSICS,245,Classics and the Cinema,VI
CLASSICS,250,Literatures of the Ancient World,VI
CLASSICS,260,Classical Mythology,"V,VI"
CLASSICS,310,Archaeology of the Ancient Mediterranean,"IV,VI"
CLASSICS,340,Greek and Roman Drama,VI
CLASSICS,350,Greek and Latin Literature,VI
CLASSICS,380,Classical Reception Studies,"IV,VI"
CLASSICS,397,"Exhibiting Antiquity: The Culture and Politics of Display; with ART
HIST 318 and HUM 397","IV,VI"
COMP LIT,200,Introduction to Literary Theory,VI
COMP LIT,201,Reading World Literature,VI
COMP LIT,202,Interpreting Culture,VI
COMP LIT,205,Reading Difference,VI
COMP LIT,211,Readings in Genre,VI
COMP LIT,270,Literatures in Translation,VI
COMP LIT,300,Theories and Practices of Reading,VI
COMP LIT,301,Studies in World Literature,VI
COMP LIT,302,Reading Across Disciplines,VI
COMP LIT,303,Movements and Periods,VI
COMP LIT,305,"Studies in Film, Media & Visual Culture",VI
COMP LIT,306,Studies in Race and Ethnicity,VI
COMP LIT,307,"Studies in Gender, Sexuality, and Representation",VI
COMP LIT,312,Major Authors & Texts,VI
ENGLISH,210-1,British Literary Traditions,VI
ENGLISH,210-2,British Literary Traditions,VI
ENGLISH,211,Introduction to Poetry,VI
ENGLISH,212,Introduction to Drama,VI
ENGLISH,213,Introduction to Fiction,VI
ENGLISH,214,Introduction to Film and Its Literatures,VI
ENGLISH,220,The Bible as Literature,"V,VI"
ENGLISH,234,Introduction to Shakespeare,VI
ENGLISH,270-1,American Literary Traditions,VI
ENGLISH,270-2,American Literary Traditions,VI
ENGLISH,273,Introduction to 20th-Century American Literature,VI
ENGLISH,274,Introduction to Native American and Indigenous Literatures,VI
ENGLISH,275,Introduction to Asian American Literature; with ASIAN AM 275,VI
ENGLISH,277,"Introduction to Latina and Latino Literature; with LATINO 277 and
SPANISH 277",VI
ENGLISH,302,History of the English Language,"IV, VI"
ENGLISH,310,Studies in Literary Genres,VI
ENGLISH,311,Studies in Poetry,VI
ENGLISH,312,Studies in Drama,VI
